,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no
975,68882,228000204,24,101,선한사마리아원,228001638,47513.0
976,68883,228000204,24,102,황금슈퍼,228001512,47164.0
977,68884,228000204,24,103,창동,228000112,47218.0
978,68885,228000204,24,104,당골마을.다루,228000111,47102.0
979,68886,228000204,24,105,남곡사거리,228001507,47402.0
980,68887,228000204,24,106,월곡,228000062,47243.0
981,68888,228000204,24,107,창리,228000061,47244.0
982,68889,228000204,24,108,송전터미널,228000217,29992.0
983,68890,228000204,24,109,화산리,228000216,47191.0
984,68891,228000204,24,110,마니커입구삼거리,228003594,56692.0
985,68892,228000204,24,111,미룡마을입구,228000215,29988.0
986,68893,228000204,24,112,시미1리남진말,228000214,29986.0
987,68894,228000204,24,113,시미곡,228000213,29984.0
988,68895,228000204,24,114,덕성1리,228000212,29982.0
989,68896,228000204,24,115,덕성리세라믹,228001293,29980.0
990,68897,228000204,24,116,덕성2리.삼배울,228000211,29978.0
991,68898,228000204,24,117,신창.덕성2리,228000210,47652.0
992,68899,228000204,24,118,신창,228000209,29974.0
993,68900,228000204,24,119,천리국민주택,228000208,29972.0
994,68901,228000204,24,120,천리농협.샘골마을,228000207,29970.0
995,68902,228000204,24,121,천리신미주아파트,228000206,29968.0
996,68903,228000204,24,122,천리입구.메종포레스트,228001490,47367.0
997,68904,228000204,24,123,베네스타아파트,228001779,47747.0
998,68905,228000204,24,124,에이스카운티,228001803,56703.0
999,68906,228000204,24,125,노루실,228000205,29964.0
1000,68907,228000204,24,126,아미원입구,228000204,29962.0
1001,68908,228000204,24,127,무너머고개,228000203,47252.0
1002,68909,228000204,24,128,안터입구,228001742,47712.0
1003,68910,228000204,24,129,신기부락입구,228001549,47536.0
1004,68911,228000204,24,130,대촌,228000202,29958.0
1005,68912,228000204,24,131,평옥,228000201,47014.0
1006,68913,228000204,24,132,옥현,228000200,47253.0
1007,68914,228000204,24,133,태성중고등학교.현대아파트,228000199,47015.0
1008,68915,228000204,24,134,현대아파트,228000198,47592.0
1009,68916,228000204,24,135,용인터미널,228000197,29436.0
1010,68917,228000204,24,136,용인터미널(경유),277102695,
6766,88114,233000004,1004,1,장외리.오리골,233001903,37929.0
6767,88115,233000004,1004,2,돈말입구,233001928,55350.0
6768,88116,233000004,1004,3,제부도입구,233001850,55347.0
6769,88117,233000004,1004,4,제부도입구,233001293,37002.0
6770,88118,233000004,1004,5,송교리(경유),277102502,
6771,88119,233000004,1004,6,개경촌,233000749,37006.0
6772,88120,233000004,1004,7,송교1리,233000748,37013.0
6773,88121,233000004,1004,8,큰말입구,233000747,37014.0
6774,88122,233000004,1004,9,장외리.지긋말,233000746,37017.0
6775,88123,233000004,1004,10,장외리,233000745,37021.0
6776,88124,233000004,1004,11,숲풀안앞,233001875,37784.0
6777,88125,233000004,1004,12,광평삼거리,233000850,37563.0
6778,88126,233000004,1004,13,느티나무앞,233001887,37928.0
6779,88127,233000004,1004,14,광평주유소,233000851,37579.0
6780,88128,233000004,1004,15,광평리,233001561,37032.0
6781,88129,233000004,1004,16,서신중학교후문,233003118,55514.0
6782,88130,233000004,1004,17,매화리,233000852,37040.0
6783,88131,233000004,1004,18,서신터미널,233000853,37045.0
6784,88132,233000004,1004,19,상안리삼거리,233000344,37398.0
6785,88133,233000004,1004,20,상안2리.SK주유소,233000744,37057.0
6786,88134,233000004,1004,21,상안1.2리,233000743,37049.0
6787,88135,233000004,1004,22,상안1리,233000742,37059.0
6788,88136,233000004,1004,23,신흥사,233000741,37062.0
6789,88137,233000004,1004,24,상안리.한국발효,233000879,36767.0
6790,88138,233000004,1004,25,육일2리.코스코밸리,233000854,37068.0
6791,88139,233000004,1004,26,육일리교차로,233001482,37557.0
6792,88140,233000004,1004,27,육일리마을회관,233002330,55172.0
6793,88141,233000004,1004,28,육일리.육교동입구,233000269,37369.0
6794,88142,233000004,1004,29,사강복지회관,233000855,37080.0
6795,88143,233000004,1004,30,사강시장,233000268,37084.0
6796,88144,233000004,1004,31,사강정형외과,233000267,37088.0
6797,88145,233000004,1004,32,봉가1리,233000289,37094.0
6798,88146,233000004,1004,33,돼지고개.삼존리물미,233000740,37098.0
6799,88147,233000004,1004,34,삼존리,233000739,37099.0
6800,88148,233000004,1004,35,슬항3리,233002153,55096.0
6801,88149,233000004,1004,36,구리섬휴게소,233000738,37102.0
6802,88150,233000004,1004,37,외국인보호소,233000737,37103.0
6803,88151,233000004,1004,38,마도사거리,233000736,37106.0
6804,88152,233000004,1004,39,재래시장.마도삼거리,233000735,37107.0
6805,88153,233000004,1004,40,두곡리,233000734,37110.0
6806,88154,233000004,1004,41,쌍송리입구.은장고개,233000733,37115.0
6807,88155,233000004,1004,42,남양육리.남양1동,233000732,36008.0
6808,88156,233000004,1004,43,우림아파트,233000731,36009.0
6809,88157,233000004,1004,44,경기남부수협.보건소,233002170,55115.0
6810,88158,233000004,1004,45,남양성지,233000841,36015.0
6811,88159,233000004,1004,46,남양사거리,233000730,36019.0
6812,88160,233000004,1004,47,남양읍행정복지센터,233000729,36025.0
6813,88161,233000004,1004,48,동수원남양병원,233000728,36029.0
6814,88162,233000004,1004,49,북양1통.봉림사,233000727,36035.0
6815,88163,233000004,1004,50,북양1통.염티고개,233000726,36043.0
6816,88164,233000004,1004,51,양노3리,233000725,37153.0
6817,88165,233000004,1004,52,양노리,233002118,55087.0
6818,88166,233000004,1004,53,백학IC(경유),277104308,
6819,88167,233000004,1004,54,화성비봉TG(경유),277104310,
6820,88168,233000004,1004,55,샘내IC(경유),277104314,
6821,88169,233000004,1004,56,천천리입구,233000712,37316.0
6822,88170,233000004,1004,57,삼미.쌍용아파트,233000711,37324.0
6823,88171,233000004,1004,58,오목천동태산아파트.서희스타힐스,201000025,2059.0
6824,88172,233000004,1004,59,수원여자대학교입구,201000024,2070.0
6825,88173,233000004,1004,60,서수원주민편익시설,201000365,2872.0
6826,88174,233000004,1004,61,고색초교.태산아파트,201000023,2124.0
6827,88175,233000004,1004,62,신병원.대원.거산아파트,201000022,2131.0
6828,88176,233000004,1004,63,공구유통타운.중앙자동차매매단지,201000336,2832.0
6829,88177,233000004,1004,64,동남아파트,201000432,2934.0
6830,88178,233000004,1004,65,수원역환승센터(4승강장),201000590,2983.0
6831,88179,233000004,1004,66,환승센터출입1(경유),277103125,
6832,88180,233000004,1004,67,환승센터출입2(경유),277103126,
6833,88181,233000004,1004,68,서둔교차로(경유),277101594,
6834,88182,233000004,1004,69,수원역.노보텔수원,202000208,3015.0
6835,88183,233000004,1004,70,수원역고가(경유),277103689,
6836,88184,233000004,1004,71,동남아파트,201000431,2933.0
6837,88185,233000004,1004,72,공구유통타운.중앙자동차매매단지,201000020,2156.0
6838,88186,233000004,1004,73,고색파출소.종합공구단지,201000064,2137.0
6839,88187,233000004,1004,74,신병원.대원.거산아파트,201000019,2128.0
6840,88188,233000004,1004,75,고색초교.태산아파트,201000018,2122.0
6841,88189,233000004,1004,76,서수원주민편익시설,201000488,2972.0
6842,88190,233000004,1004,77,수원여자대학입구,201000017,2067.0
6843,88191,233000004,1004,78,오목천동태산아파트.서희스타힐스,201000016,2058.0
6844,88192,233000004,1004,79,삼미.쌍용아파트,233000782,37325.0
6845,88193,233000004,1004,80,천천리입구,233000781,37321.0
6846,88194,233000004,1004,81,샘내IC(경유),277104315,
6847,88195,233000004,1004,82,화성비봉TG(경유),277104311,
6848,88196,233000004,1004,83,백학IC(경유),277104309,
6849,88197,233000004,1004,84,양노IC(경유),277104307,
6850,88198,233000004,1004,85,양노리,233000773,37154.0
6851,88199,233000004,1004,86,양노3리,233003082,55393.0
6852,88200,233000004,1004,87,북양1통.염티고개,233000772,36042.0
6853,88201,233000004,1004,88,북양1통,233000771,37776.0
6854,88202,233000004,1004,89,동수원남양병원,233000770,36030.0
6855,88203,233000004,1004,90,남양읍행정복지센터,233000769,36026.0
6856,88204,233000004,1004,91,남양사거리,233000768,36021.0
6857,88205,233000004,1004,92,남양성지,233000767,36014.0
6858,88206,233000004,1004,93,경기남부수협.보건소,233002171,55116.0
6859,88207,233000004,1004,94,우림아파트,233000766,36010.0
6860,88208,233000004,1004,95,남양육리.남양1동,233000765,36007.0
6861,88209,233000004,1004,96,은장고개,233001298,37114.0
6862,88210,233000004,1004,97,두곡리,233000764,37109.0
6863,88211,233000004,1004,98,재래시장.마도삼거리,233000763,37108.0
6864,88212,233000004,1004,99,마도사거리,233000762,37105.0
6865,88213,233000004,1004,100,외국인보호소,233000761,37104.0
6866,88214,233000004,1004,101,구리섬앞,233000857,37562.0
6867,88215,233000004,1004,102,구리섬휴게소,233000760,37101.0
6868,88216,233000004,1004,103,삼존리자동차성능시험장,233000759,37100.0
6869,88217,233000004,1004,104,돼지고개.삼존리물미,233000877,37097.0
6870,88218,233000004,1004,105,봉가1리,233000878,37095.0
6871,88219,233000004,1004,106,송산농협.사강정형외과,233000858,37089.0
6872,88220,233000004,1004,107,사강시장,233000859,37085.0
6873,88221,233000004,1004,108,사강복지회관,233000271,37081.0
6874,88222,233000004,1004,109,육일리.육교동입구,233000270,37370.0
6875,88223,233000004,1004,110,육일리마을회관,233000136,36440.0
6876,88224,233000004,1004,111,육일리교차로,233001483,37556.0
6877,88225,233000004,1004,112,육일2리.코스코밸리,233000860,37069.0
6878,88226,233000004,1004,113,상안리.한국발효,233000758,37471.0
6879,88227,233000004,1004,114,신흥사,233000861,37061.0
6880,88228,233000004,1004,115,상안1.2리,233000756,37048.0
6881,88229,233000004,1004,116,상안2리.SK주유소,233000862,37054.0
6882,88230,233000004,1004,117,서신,233000863,37043.0
6883,88231,233000004,1004,118,매화리,233000324,37041.0
6884,88232,233000004,1004,119,서신중학교후문,233003119,55515.0
6885,88233,233000004,1004,120,목성머리,233000755,37578.0
6886,88234,233000004,1004,121,광평리,233000864,37031.0
6887,88235,233000004,1004,122,느티나무앞,233001888,37927.0
6888,88236,233000004,1004,123,광평삼거리,233000754,37564.0
6889,88237,233000004,1004,124,숲풀안앞,233001876,37783.0
6890,88238,233000004,1004,125,장외리,233000865,37020.0
6891,88239,233000004,1004,126,장외리.지긋말,233000866,37016.0
6892,88240,233000004,1004,127,큰말입구,233000867,37015.0
6893,88241,233000004,1004,128,송교1리,233000868,37012.0
6894,88242,233000004,1004,129,살고지입구,233001299,36947.0
6895,88243,233000004,1004,130,개경촌,233000871,37007.0
6896,88244,233000004,1004,131,제부해수탕,233000753,36763.0
6897,88245,233000004,1004,132,제부도입구,233000872,37001.0
6898,88246,233000004,1004,133,제부도입구,233001904,55349.0
6899,88247,233000004,1004,134,돈말입구,233001930,55351.0
6900,88248,233000004,1004,135,장외리.오리골,233001871,55348.0
6901,88249,233000005,330,1,장외리.오리골,233001903,37929.0
6902,88250,233000005,330,2,돈말입구,233001928,55350.0
6903,88251,233000005,330,3,제부도입구,233001850,55347.0
6904,88252,233000005,330,4,제부도입구,233001293,37002.0
6905,88253,233000005,330,5,제부해수탕,233001872,37925.0
6906,88254,233000005,330,6,개경촌,233000749,37006.0
6907,88255,233000005,330,7,살고지입구,233001294,37008.0
6908,88256,233000005,330,8,송교1리,233000748,37013.0
6909,88257,233000005,330,9,큰말입구,233000747,37014.0
6910,88258,233000005,330,10,장외리.지긋말,233000746,37017.0
6911,88259,233000005,330,11,장외리,233001873,37930.0
6912,88260,233000005,330,12,장외리,233000745,37021.0
6913,88261,233000005,330,13,숲풀안앞,233001875,37784.0
6914,88262,233000005,330,14,광평삼거리,233000850,37563.0
6915,88263,233000005,330,15,느티나무앞,233001887,37928.0
6916,88264,233000005,330,16,광평주유소,233000851,37579.0
6917,88265,233000005,330,17,광평리,233001561,37032.0
6918,88266,233000005,330,18,서신중학교후문,233003118,55514.0
6919,88267,233000005,330,19,매화리,233000852,37040.0
6920,88268,233000005,330,20,서신터미널,233000853,37045.0
6921,88269,233000005,330,21,상안리삼거리,233000344,37398.0
6922,88270,233000005,330,22,상안삼거리,233002315,55232.0
6923,88271,233000005,330,23,상안2리.SK주유소,233000744,37057.0
6924,88272,233000005,330,24,상안1.2리,233000743,37049.0
6925,88273,233000005,330,25,상안1리,233000742,37059.0
6926,88274,233000005,330,26,신흥사,233000741,37062.0
6927,88275,233000005,330,27,상안리.한국발효,233000879,36767.0
6928,88276,233000005,330,28,육일2리.코스코밸리,233000854,37068.0
6929,88277,233000005,330,29,육일리교차로,233001482,37557.0
6930,88278,233000005,330,30,육일리마을회관,233002330,55172.0
6931,88279,233000005,330,31,육일리.육교동입구,233000269,37369.0
6932,88280,233000005,330,32,사강복지회관,233000855,37080.0
6933,88281,233000005,330,33,사강시장,233000268,37084.0
6934,88282,233000005,330,34,사강정형외과,233000267,37088.0
6935,88283,233000005,330,35,봉가1리,233000289,37094.0
6936,88284,233000005,330,36,돼지고개.삼존리물미,233000740,37098.0
6937,88285,233000005,330,37,삼존리,233000739,37099.0
6938,88286,233000005,330,38,슬항3리,233002153,55096.0
6939,88287,233000005,330,39,구리섬휴게소,233000738,37102.0
6940,88288,233000005,330,40,외국인보호소,233000737,37103.0
6941,88289,233000005,330,41,마도사거리,233000736,37106.0
6942,88290,233000005,330,42,재래시장.마도삼거리,233000735,37107.0
6943,88291,233000005,330,43,두곡리,233000734,37110.0
6944,88292,233000005,330,44,쌍송리입구.은장고개,233000733,37115.0
6945,88293,233000005,330,45,남양육리.남양1동,233000732,36008.0
6946,88294,233000005,330,46,우림아파트,233000731,36009.0
6947,88295,233000005,330,47,경기남부수협.보건소,233002170,55115.0
6948,88296,233000005,330,48,남양성지,233000841,36015.0
6949,88297,233000005,330,49,남양사거리,233000730,36019.0
6950,88298,233000005,330,50,남양읍행정복지센터,233000729,36025.0
6951,88299,233000005,330,51,남양도서관.동광뷰엘,233002704,55639.0
6952,88300,233000005,330,52,남양동광뷰엘,233003108,55435.0
6953,88301,233000005,330,53,남양뉴타운4단지,233001975,36742.0
6954,88302,233000005,330,54,남양뉴타운입구,233000886,55677.0
6955,88303,233000005,330,55,유일병원,233001404,36719.0
6956,88304,233000005,330,56,북양1통.봉림사,233000727,36035.0
6957,88305,233000005,330,57,북양1통.염티고개,233000726,36043.0
6958,88306,233000005,330,58,양노3리,233000725,37153.0
6959,88307,233000005,330,59,양노리,233002118,55087.0
6960,88308,233000005,330,60,삼화리,233000724,37162.0
6961,88309,233000005,330,61,천산아파트,233000723,37169.0
6962,88310,233000005,330,62,비봉초등학교후문,233000722,37171.0
6963,88311,233000005,330,63,비봉중고등학교,233000721,37186.0
6964,88312,233000005,330,64,연화가든앞,233002039,55017.0
6965,88313,233000005,330,65,구포리,233000538,37176.0
6966,88314,233000005,330,66,야목리,233000537,37193.0
6967,88315,233000005,330,67,매송휴먼시아후문,233002354,55236.0
6968,88316,233000005,330,68,송라리,233000536,37215.0
6969,88317,233000005,330,69,원리,233000535,37211.0
6970,88318,233000005,330,70,두산인프라코어,216000351,17349.0
6971,88319,233000005,330,71,도금단지,216000163,17299.0
6972,88320,233000005,330,72,팔곡주유소건너편,216000120,17296.0
6973,88321,233000005,330,73,팔곡마을주공아파트건너편,216000119,17300.0
6974,88322,233000005,330,74,수인산업도로1(경유),277102510,
6975,88323,233000005,330,75,반월농협앞,216000286,17306.0
6976,88324,233000005,330,76,서해아파트앞,216000285,17307.0
6977,88325,233000005,330,77,반월역,216000335,17309.0
6978,88326,233000005,330,78,대야미삼거리,225000124,26004.0
6979,88327,233000005,330,79,군포보건소,225000191,26182.0
6980,88328,233000005,330,80,삼성마을5단지,225000182,26174.0
6981,88329,233000005,330,81,복합화물터미널후문입구,225000123,26060.0
6982,88330,233000005,330,82,안양컨트리클럽,225000121,26073.0
6983,88331,233000005,330,83,용호고등학교,225000120,26079.0
6984,88332,233000005,330,84,당동주공아파트,225000119,26084.0
6985,88333,233000005,330,85,군포시평생학습원,225000021,26102.0
6986,88334,233000005,330,86,군포초등학교,225000032,26116.0
6987,88335,233000005,330,87,당동우체국,225000118,26118.0
6988,88336,233000005,330,88,군포역,225000117,26128.0
6989,88337,233000005,330,89,주공1단지.무궁화아파트,225000134,26064.0
6990,88338,233000005,330,90,군포시청.산본역,225000116,26055.0
6991,88339,233000005,330,91,11단지주공아파트,225000086,26057.0
6992,88340,233000005,330,92,산본래미안아파트,225000085,26066.0
6993,88341,233000005,330,93,삼성아파트입구,225000128,26083.0
6994,88342,233000005,330,94,금정역,225000127,26098.0
6995,88343,233000005,330,95,금정역,225000115,26111.0
6996,88344,233000005,330,96,금정가구거리,225000015,26117.0
6997,88345,233000005,330,97,천지사입구,225000114,26129.0
6998,88346,233000005,330,98,군포G샘병원,225000113,26140.0
6999,88347,233000005,330,99,군포중학교,225000104,26138.0
7000,88348,233000005,330,100,군포1동주민센터.군포역,225000112,26136.0
7001,88349,233000005,330,101,당동우체국,225000111,26119.0
7002,88350,233000005,330,102,군포초등학교,225000042,26107.0
7003,88351,233000005,330,103,군포시평생학습원,225000027,26099.0
7004,88352,233000005,330,104,당동주공아파트,225000110,26082.0
7005,88353,233000005,330,105,용호고등학교,225000187,26168.0
7006,88354,233000005,330,106,안양컨트리클럽,225000185,26074.0
7007,88355,233000005,330,107,복합화물터미널후문입구,225000075,26063.0
7008,88356,233000005,330,108,삼성마을5단지,225000171,26169.0
7009,88357,233000005,330,109,군포보건소,225000192,26179.0
7010,88358,233000005,330,110,대야미장안그린,225000204,26187.0
7011,88359,233000005,330,111,대야미삼거리,225000107,26003.0
7012,88360,233000005,330,112,구반월입구,225000433,26415.0
7013,88361,233000005,330,113,반월역앞,216000150,17310.0
7014,88362,233000005,330,114,서해아파트건너편,216000284,17308.0
7015,88363,233000005,330,115,반월농협,216000283,17305.0
7016,88364,233000005,330,116,수인산업도로1(경유),277102533,
7017,88365,233000005,330,117,팔곡마을주공아파트,216000337,17301.0
7018,88366,233000005,330,118,팔곡주유소건너편,216000361,17352.0
7019,88367,233000005,330,119,도금단지,216000338,17337.0
7020,88368,233000005,330,120,두산인프라코어맞은편,216000352,17350.0
7021,88369,233000005,330,121,원리,233000534,37210.0
7022,88370,233000005,330,122,송라1리,233000533,37214.0
7023,88371,233000005,330,123,야목리,233000532,37194.0
7024,88372,233000005,330,124,구포리,233000873,37175.0
7025,88373,233000005,330,125,왕재골입구,233002040,55008.0
7026,88374,233000005,330,126,비봉중고등학교,233000778,37183.0
7027,88375,233000005,330,127,비봉초등학교후문.삼화3리,233000777,37170.0
7028,88376,233000005,330,128,천산아파트,233000776,37168.0
7029,88377,233000005,330,129,삼화리.천산아파트,233000774,37161.0
7030,88378,233000005,330,130,양노리,233000773,37154.0
7031,88379,233000005,330,131,양노3리,233003082,55393.0
7032,88380,233000005,330,132,북양1통.염티고개,233000772,36042.0
7033,88381,233000005,330,133,북양1통,233000771,37776.0
7034,88382,233000005,330,134,남양뉴타운입구,233000966,55678.0
7035,88383,233000005,330,135,남양뉴타운4단지,233003107,55434.0
7036,88384,233000005,330,136,남양동광뷰엘,233003109,55436.0
7037,88385,233000005,330,137,남양도서관.동광뷰엘,233002705,55640.0
7038,88386,233000005,330,138,남양읍행정복지센터,233000769,36026.0
7039,88387,233000005,330,139,남양사거리,233000768,36021.0
7040,88388,233000005,330,140,남양성지,233000767,36014.0
7041,88389,233000005,330,141,경기남부수협.보건소,233002171,55116.0
7042,88390,233000005,330,142,우림아파트,233000766,36010.0
7043,88391,233000005,330,143,남양육리.남양1동,233000765,36007.0
7044,88392,233000005,330,144,은장고개,233001298,37114.0
7045,88393,233000005,330,145,두곡리,233000764,37109.0
7046,88394,233000005,330,146,재래시장.마도삼거리,233000763,37108.0
7047,88395,233000005,330,147,마도사거리,233000762,37105.0
7048,88396,233000005,330,148,외국인보호소,233000761,37104.0
7049,88397,233000005,330,149,구리섬앞,233000857,37562.0
7050,88398,233000005,330,150,구리섬휴게소,233000760,37101.0
7051,88399,233000005,330,151,삼존리자동차성능시험장,233000759,37100.0
7052,88400,233000005,330,152,돼지고개.삼존리물미,233000877,37097.0
7053,88401,233000005,330,153,봉가1리,233000878,37095.0
7054,88402,233000005,330,154,송산농협.사강정형외과,233000858,37089.0
7055,88403,233000005,330,155,사강시장,233000859,37085.0
7056,88404,233000005,330,156,사강복지회관,233000271,37081.0
7057,88405,233000005,330,157,육일리.육교동입구,233000270,37370.0
7058,88406,233000005,330,158,육일리마을회관,233000136,36440.0
7059,88407,233000005,330,159,육일리교차로,233001483,37556.0
7060,88408,233000005,330,160,육일2리.코스코밸리,233000860,37069.0
7061,88409,233000005,330,161,상안리.한국발효,233000758,37471.0
7062,88410,233000005,330,162,신흥사,233000861,37061.0
7063,88411,233000005,330,163,상안1리,233000757,37058.0
7064,88412,233000005,330,164,상안1.2리,233000756,37048.0
7065,88413,233000005,330,165,상안2리.SK주유소,233000862,37054.0
7066,88414,233000005,330,166,상안삼거리,233002316,55225.0
7067,88415,233000005,330,167,서신,233000863,37043.0
7068,88416,233000005,330,168,매화리,233000324,37041.0
7069,88417,233000005,330,169,서신중학교후문,233003119,55515.0
7070,88418,233000005,330,170,목성머리,233000755,37578.0
7071,88419,233000005,330,171,광평리,233000864,37031.0
7072,88420,233000005,330,172,느티나무앞,233001888,37927.0
7073,88421,233000005,330,173,광평삼거리,233000754,37564.0
7074,88422,233000005,330,174,숲풀안앞,233001876,37783.0
7075,88423,233000005,330,175,장외리,233000865,37020.0
7076,88424,233000005,330,176,장외리,233001874,37926.0
7077,88425,233000005,330,177,장외리.지긋말,233000866,37016.0
7078,88426,233000005,330,178,큰말입구,233000867,37015.0
7079,88427,233000005,330,179,송교1리,233000868,37012.0
7080,88428,233000005,330,180,살고지입구,233001299,36947.0
7081,88429,233000005,330,181,개경촌,233000871,37007.0
7082,88430,233000005,330,182,제부해수탕,233000753,36763.0
7083,88431,233000005,330,183,제부도입구,233000872,37001.0
7084,88432,233000005,330,184,제부도입구,233001904,55349.0
7085,88433,233000005,330,185,돈말입구,233001930,55351.0
7086,88434,233000005,330,186,장외리.오리골,233001871,55348.0
7087,88547,233000010,33-1,1,조암터미널,233000928,36013.0
